cTelelecturaBO;cTelelecturaBO.linea;cTelelecturaBO.contadorNumSerie;cTelelecturaBO.ubicacion;cTelelecturaBO.fechaLectura;cTelelecturaBO.lectura;cTelelecturaBO.usuario;cTelelecturaBO.zona;cTelelecturaBO.contrato;cTelelecturaBO.periodo;cTelelecturaBO.observaciones;cTelelecturaBO.Linea;cTelelecturaBO.ContadorNumSerie;cTelelecturaBO.Ubicacion;cTelelecturaBO.FechaLectura;cTelelecturaBO.Lectura;cTelelecturaBO.Usuario;cTelelecturaBO.Zona;cTelelecturaBO.Contrato;cTelelecturaBO.Periodo;cTelelecturaBO.Observaciones
BO.Facturacion.cTelelecturaBO;"";P23NE855734A;"";"15/04/2024 22:05:00";9388793;"";"";"";"";"";"";P23NE855734A;"";"15/04/2024 22:05:00";9388793;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23NE855733Z;"";"15/04/2024 22:05:00";1913015;"";"";"";"";"";"";P23NE855733Z;"";"15/04/2024 22:05:00";1913015;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23UF789680N;"";"15/04/2024 22:10:00";5420699;"";"";"";"";"";"";P23UF789680N;"";"15/04/2024 22:10:00";5420699;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23UF789678T;"";"15/04/2024 22:10:00";48465;"";"";"";"";"";"";P23UF789678T;"";"15/04/2024 22:10:00";48465;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23UF789668R;"";"15/04/2024 22:10:00";419737;"";"";"";"";"";"";P23UF789668R;"";"15/04/2024 22:10:00";419737;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23UF789677S;"";"15/04/2024 22:10:00";55938;"";"";"";"";"";"";P23UF789677S;"";"15/04/2024 22:10:00";55938;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23NC467120D;"";"15/04/2024 22:15:00";30668;"";"";"";"";"";"";P23NC467120D;"";"15/04/2024 22:15:00";30668;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23NC467122F;"";"15/04/2024 22:15:00";1852493;"";"";"";"";"";"";P23NC467122F;"";"15/04/2024 22:15:00";1852493;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23NE855733Z;"";"15/04/2024 22:20:00";1913015;"";"";"";"";"";"";P23NE855733Z;"";"15/04/2024 22:20:00";1913015;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA392778A;"";"15/04/2024 22:30:00";53119;"";"";"";"";"";"";P23VA392778A;"";"15/04/2024 22:30:00";53119;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401302D;"";"15/04/2024 22:30:00";80347;"";"";"";"";"";"";P23VA401302D;"";"15/04/2024 22:30:00";80347;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401304F;"";"15/04/2024 22:30:00";41112;"";"";"";"";"";"";P23VA401304F;"";"15/04/2024 22:30:00";41112;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401283R;"";"15/04/2024 22:30:00";57712;"";"";"";"";"";"";P23VA401283R;"";"15/04/2024 22:30:00";57712;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401284S;"";"15/04/2024 22:30:00";228295;"";"";"";"";"";"";P23VA401284S;"";"15/04/2024 22:30:00";228295;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401279V;"";"15/04/2024 22:30:00";124981;"";"";"";"";"";"";P23VA401279V;"";"15/04/2024 22:30:00";124981;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401286U;"";"15/04/2024 22:30:00";77328;"";"";"";"";"";"";P23VA401286U;"";"15/04/2024 22:30:00";77328;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401288W;"";"15/04/2024 22:30:00";146769;"";"";"";"";"";"";P23VA401288W;"";"15/04/2024 22:30:00";146769;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401300B;"";"15/04/2024 22:30:00";108221;"";"";"";"";"";"";P23VA401300B;"";"15/04/2024 22:30:00";108221;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401287V;"";"15/04/2024 22:30:00";236873;"";"";"";"";"";"";P23VA401287V;"";"15/04/2024 22:30:00";236873;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401303E;"";"15/04/2024 22:30:00";87169;"";"";"";"";"";"";P23VA401303E;"";"15/04/2024 22:30:00";87169;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA392776Y;"";"15/04/2024 22:30:00";2;"";"";"";"";"";"";P23VA392776Y;"";"15/04/2024 22:30:00";2;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401278U;"";"15/04/2024 22:30:00";72476;"";"";"";"";"";"";P23VA401278U;"";"15/04/2024 22:30:00";72476;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401285T;"";"15/04/2024 22:30:00";154136;"";"";"";"";"";"";P23VA401285T;"";"15/04/2024 22:30:00";154136;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401301C;"";"15/04/2024 22:30:00";173496;"";"";"";"";"";"";P23VA401301C;"";"15/04/2024 22:30:00";173496;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401282Q;"";"15/04/2024 22:30:00";128036;"";"";"";"";"";"";P23VA401282Q;"";"15/04/2024 22:30:00";128036;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401298Y;"";"15/04/2024 22:30:00";57955;"";"";"";"";"";"";P23VA401298Y;"";"15/04/2024 22:30:00";57955;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401307I;"";"15/04/2024 22:30:00";93193;"";"";"";"";"";"";P23VA401307I;"";"15/04/2024 22:30:00";93193;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401281P;"";"15/04/2024 22:30:00";72496;"";"";"";"";"";"";P23VA401281P;"";"15/04/2024 22:30:00";72496;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401280O;"";"15/04/2024 22:30:00";102144;"";"";"";"";"";"";P23VA401280O;"";"15/04/2024 22:30:00";102144;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401305G;"";"15/04/2024 22:30:00";72947;"";"";"";"";"";"";P23VA401305G;"";"15/04/2024 22:30:00";72947;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA392781V;"";"15/04/2024 22:30:00";159719;"";"";"";"";"";"";P23VA392781V;"";"15/04/2024 22:30:00";159719;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA392777Z;"";"15/04/2024 22:30:00";121463;"";"";"";"";"";"";P23VA392777Z;"";"15/04/2024 22:30:00";121463;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401299Z;"";"15/04/2024 22:30:00";2704;"";"";"";"";"";"";P23VA401299Z;"";"15/04/2024 22:30:00";2704;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401306H;"";"15/04/2024 22:30:00";164146;"";"";"";"";"";"";P23VA401306H;"";"15/04/2024 22:30:00";164146;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA392780U;"";"15/04/2024 22:30:00";120394;"";"";"";"";"";"";P23VA392780U;"";"15/04/2024 22:30:00";120394;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401324J;"";"15/04/2024 22:30:00";869;"";"";"";"";"";"";P23VA401324J;"";"15/04/2024 22:30:00";869;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401326L;"";"15/04/2024 22:30:00";33780;"";"";"";"";"";"";P23VA401326L;"";"15/04/2024 22:30:00";33780;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401318L;"";"15/04/2024 22:30:00";235585;"";"";"";"";"";"";P23VA401318L;"";"15/04/2024 22:30:00";235585;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401292S;"";"15/04/2024 22:30:00";177782;"";"";"";"";"";"";P23VA401292S;"";"15/04/2024 22:30:00";177782;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401293T;"";"15/04/2024 22:30:00";79533;"";"";"";"";"";"";P23VA401293T;"";"15/04/2024 22:30:00";79533;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401314H;"";"15/04/2024 22:30:00";150328;"";"";"";"";"";"";P23VA401314H;"";"15/04/2024 22:30:00";150328;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401291R;"";"15/04/2024 22:30:00";189625;"";"";"";"";"";"";P23VA401291R;"";"15/04/2024 22:30:00";189625;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401296W;"";"15/04/2024 22:30:00";174707;"";"";"";"";"";"";P23VA401296W;"";"15/04/2024 22:30:00";174707;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401309K;"";"15/04/2024 22:30:00";71199;"";"";"";"";"";"";P23VA401309K;"";"15/04/2024 22:30:00";71199;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401316J;"";"15/04/2024 22:30:00";37267;"";"";"";"";"";"";P23VA401316J;"";"15/04/2024 22:30:00";37267;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401322H;"";"15/04/2024 22:30:00";102201;"";"";"";"";"";"";P23VA401322H;"";"15/04/2024 22:30:00";102201;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401315I;"";"15/04/2024 22:30:00";119299;"";"";"";"";"";"";P23VA401315I;"";"15/04/2024 22:30:00";119299;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401327M;"";"15/04/2024 22:30:00";128975;"";"";"";"";"";"";P23VA401327M;"";"15/04/2024 22:30:00";128975;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401319M;"";"15/04/2024 22:30:00";58303;"";"";"";"";"";"";P23VA401319M;"";"15/04/2024 22:30:00";58303;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401308J;"";"15/04/2024 22:30:00";135765;"";"";"";"";"";"";P23VA401308J;"";"15/04/2024 22:30:00";135765;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401323I;"";"15/04/2024 22:30:00";193105;"";"";"";"";"";"";P23VA401323I;"";"15/04/2024 22:30:00";193105;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401294U;"";"15/04/2024 22:30:00";115841;"";"";"";"";"";"";P23VA401294U;"";"15/04/2024 22:30:00";115841;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401295V;"";"15/04/2024 22:30:00";41444;"";"";"";"";"";"";P23VA401295V;"";"15/04/2024 22:30:00";41444;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401310D;"";"15/04/2024 22:30:00";290281;"";"";"";"";"";"";P23VA401310D;"";"15/04/2024 22:30:00";290281;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401320F;"";"15/04/2024 22:30:00";215073;"";"";"";"";"";"";P23VA401320F;"";"15/04/2024 22:30:00";215073;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401321G;"";"15/04/2024 22:30:00";31688;"";"";"";"";"";"";P23VA401321G;"";"15/04/2024 22:30:00";31688;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401325K;"";"15/04/2024 22:30:00";135867;"";"";"";"";"";"";P23VA401325K;"";"15/04/2024 22:30:00";135867;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401290Q;"";"15/04/2024 22:30:00";126317;"";"";"";"";"";"";P23VA401290Q;"";"15/04/2024 22:30:00";126317;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401297X;"";"15/04/2024 22:30:00";78070;"";"";"";"";"";"";P23VA401297X;"";"15/04/2024 22:30:00";78070;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401313G;"";"15/04/2024 22:30:00";108253;"";"";"";"";"";"";P23VA401313G;"";"15/04/2024 22:30:00";108253;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401289X;"";"15/04/2024 22:30:00";58385;"";"";"";"";"";"";P23VA401289X;"";"15/04/2024 22:30:00";58385;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401345O;"";"15/04/2024 22:30:00";39862;"";"";"";"";"";"";P23VA401345O;"";"15/04/2024 22:30:00";39862;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401328N;"";"15/04/2024 22:30:00";118336;"";"";"";"";"";"";P23VA401328N;"";"15/04/2024 22:30:00";118336;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401330H;"";"15/04/2024 22:30:00";68304;"";"";"";"";"";"";P23VA401330H;"";"15/04/2024 22:30:00";68304;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401276S;"";"15/04/2024 22:30:00";73995;"";"";"";"";"";"";P23VA401276S;"";"15/04/2024 22:30:00";73995;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401274Q;"";"15/04/2024 22:30:00";138413;"";"";"";"";"";"";P23VA401274Q;"";"15/04/2024 22:30:00";138413;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401271N;"";"15/04/2024 22:30:00";103568;"";"";"";"";"";"";P23VA401271N;"";"15/04/2024 22:30:00";103568;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401272O;"";"15/04/2024 22:30:00";60637;"";"";"";"";"";"";P23VA401272O;"";"15/04/2024 22:30:00";60637;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401333K;"";"15/04/2024 22:30:00";118590;"";"";"";"";"";"";P23VA401333K;"";"15/04/2024 22:30:00";118590;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401332J;"";"15/04/2024 22:30:00";105600;"";"";"";"";"";"";P23VA401332J;"";"15/04/2024 22:30:00";105600;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401270M;"";"15/04/2024 22:30:00";116231;"";"";"";"";"";"";P23VA401270M;"";"15/04/2024 22:30:00";116231;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401277T;"";"15/04/2024 22:30:00";38385;"";"";"";"";"";"";P23VA401277T;"";"15/04/2024 22:30:00";38385;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401344N;"";"15/04/2024 22:30:00";196457;"";"";"";"";"";"";P23VA401344N;"";"15/04/2024 22:30:00";196457;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401329O;"";"15/04/2024 22:30:00";103417;"";"";"";"";"";"";P23VA401329O;"";"15/04/2024 22:30:00";103417;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401334L;"";"15/04/2024 22:30:00";89607;"";"";"";"";"";"";P23VA401334L;"";"15/04/2024 22:30:00";89607;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401347Q;"";"15/04/2024 22:30:00";30205;"";"";"";"";"";"";P23VA401347Q;"";"15/04/2024 22:30:00";30205;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401339Q;"";"15/04/2024 22:30:00";135526;"";"";"";"";"";"";P23VA401339Q;"";"15/04/2024 22:30:00";135526;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401275R;"";"15/04/2024 22:30:00";128552;"";"";"";"";"";"";P23VA401275R;"";"15/04/2024 22:30:00";128552;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401268S;"";"15/04/2024 22:30:00";85173;"";"";"";"";"";"";P23VA401268S;"";"15/04/2024 22:30:00";85173;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401346P;"";"15/04/2024 22:30:00";184143;"";"";"";"";"";"";P23VA401346P;"";"15/04/2024 22:30:00";184143;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401342L;"";"15/04/2024 22:30:00";173400;"";"";"";"";"";"";P23VA401342L;"";"15/04/2024 22:30:00";173400;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401273P;"";"15/04/2024 22:30:00";96220;"";"";"";"";"";"";P23VA401273P;"";"15/04/2024 22:30:00";96220;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401335M;"";"15/04/2024 22:30:00";106479;"";"";"";"";"";"";P23VA401335M;"";"15/04/2024 22:30:00";106479;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401269T;"";"15/04/2024 22:30:00";88073;"";"";"";"";"";"";P23VA401269T;"";"15/04/2024 22:30:00";88073;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401336N;"";"15/04/2024 22:30:00";92597;"";"";"";"";"";"";P23VA401336N;"";"15/04/2024 22:30:00";92597;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401331I;"";"15/04/2024 22:30:00";71308;"";"";"";"";"";"";P23VA401331I;"";"15/04/2024 22:30:00";71308;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401340J;"";"15/04/2024 22:30:00";81310;"";"";"";"";"";"";P23VA401340J;"";"15/04/2024 22:30:00";81310;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401337O;"";"15/04/2024 22:30:00";163417;"";"";"";"";"";"";P23VA401337O;"";"15/04/2024 22:30:00";163417;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA401341K;"";"15/04/2024 22:30:00";105313;"";"";"";"";"";"";P23VA401341K;"";"15/04/2024 22:30:00";105313;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23NA458850P;"";"15/04/2024 22:30:00";4;"";"";"";"";"";"";P23NA458850P;"";"15/04/2024 22:30:00";4;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA392758W;"";"15/04/2024 22:30:00";125786;"";"";"";"";"";"";P23VA392758W;"";"15/04/2024 22:30:00";125786;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA392757V;"";"15/04/2024 22:30:00";154845;"";"";"";"";"";"";P23VA392757V;"";"15/04/2024 22:30:00";154845;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA392762S;"";"15/04/2024 22:30:00";244679;"";"";"";"";"";"";P23VA392762S;"";"15/04/2024 22:30:00";244679;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA392773V;"";"15/04/2024 22:30:00";166072;"";"";"";"";"";"";P23VA392773V;"";"15/04/2024 22:30:00";166072;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA392764U;"";"15/04/2024 22:30:00";28393;"";"";"";"";"";"";P23VA392764U;"";"15/04/2024 22:30:00";28393;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA392767X;"";"15/04/2024 22:30:00";44987;"";"";"";"";"";"";P23VA392767X;"";"15/04/2024 22:30:00";44987;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA392779B;"";"15/04/2024 22:30:00";296145;"";"";"";"";"";"";P23VA392779B;"";"15/04/2024 22:30:00";296145;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA392771T;"";"15/04/2024 22:30:00";40033;"";"";"";"";"";"";P23VA392771T;"";"15/04/2024 22:30:00";40033;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA392755T;"";"15/04/2024 22:30:00";59381;"";"";"";"";"";"";P23VA392755T;"";"15/04/2024 22:30:00";59381;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA392768Y;"";"15/04/2024 22:30:00";173922;"";"";"";"";"";"";P23VA392768Y;"";"15/04/2024 22:30:00";173922;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA392760Q;"";"15/04/2024 22:30:00";50326;"";"";"";"";"";"";P23VA392760Q;"";"15/04/2024 22:30:00";50326;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA392761R;"";"15/04/2024 22:30:00";95982;"";"";"";"";"";"";P23VA392761R;"";"15/04/2024 22:30:00";95982;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA392774W;"";"15/04/2024 22:30:00";2869;"";"";"";"";"";"";P23VA392774W;"";"15/04/2024 22:30:00";2869;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA392770S;"";"15/04/2024 22:30:00";69354;"";"";"";"";"";"";P23VA392770S;"";"15/04/2024 22:30:00";69354;"";"";"";"";""
BO.Facturacion.cTelelecturaBO;"";P23VA392763T;"";"15/04/2024 22:30:00";281073;"";"";"";"";"";"";P23VA392763T;"";"15/04/2024 22:30:00";281073;"";"";"";"";""
